query_id,query,category,doc_id,title,rating,text_preview,relevance
Q01,best moisturizer for dry skin,skin concern,29985,Best ever,5,"The best moisturizer I have ever used and I have used plenty. Heavy duty, takes care of winter dry skin overnight.",2
Q01,best moisturizer for dry skin,skin concern,20860,Not for people with dry skin,4,Use a moisturizer after if you have dry skin because this really dries out the skin .,2
Q01,best moisturizer for dry skin,skin concern,39210,Five Stars,5,This is a wonderful light moisturizer for my dry older skin.  I makes foundation go on smoothly.,2
Q01,best moisturizer for dry skin,skin concern,35224,Great for dry skin/ingrown hair,5,"The best washcloth for my dry, sensitive skin.",1
Q01,best moisturizer for dry skin,skin concern,27992,Five Stars,5,Best moisturizer I’ve ever used. Expensive for the small amount but worth it if you value your skin,2
Q01,best moisturizer for dry skin,skin concern,4578,Good product but skin was still dry.,4,Moisturizing yet not greasy. However I found that for aging dry skin I needed another moisturizer on top of that.,2
Q01,best moisturizer for dry skin,skin concern,31870,Not emollient enough,4,This would have a been a great moisturizer for my 20s not so much for my late 40s with menapause extremely dry skin!,2
Q01,best moisturizer for dry skin,skin concern,39363,Great for dry skin,5,Absolutely the best product I’ve found for my very dry skin.,1
Q01,best moisturizer for dry skin,skin concern,26209,Very good.!,5,"I love the lotion, it’s the best lotion for dry skin.",2
Q01,best moisturizer for dry skin,skin concern,41117,Absolutely love it,5,Absolutely the best moisturizer ever,2
Q01,best moisturizer for dry skin,skin concern,26892,Cream and moisturizing.,5,Best scent and moisturizer for lips in my opinion.,2
Q01,best moisturizer for dry skin,skin concern,8538,Best skin cream on the market for dry skin,5,"This stuff is fantastic.  I purchased mine July 2016 and it was thick and creamy, as always, not runny as a few reviews have said.  I've used this stuff for years to help my extremely dry skin.  It makes rough scaly skin soft and smooth with a minimum of product.<br /><br />After showering, pat dry and apply lightly.  You'll see a difference within hours.  Daily use is usually not required.  It's that good.  Use every other day at most.  Well worth the money.  Best skin cream on the market, including Eucerin, Cetaphil, coconut oil and any other skin moisturizer.  Ammonium lactate is the very best skin moisturizer on the market, bar none.  It could make the Cryptkeeper soft and youthful.",2
Q01,best moisturizer for dry skin,skin concern,21428,Best Moisturizer ever!!,5,"This is by far the best moisturizer I've used. I've gone through so many different moisturizers to help with blemishes and uneven skin tone, until I found this one. It makes my skin glow, improves skin tone, lightens blemishs, and gives Incredible softness. Sometimes I can't stop touching my face because of how soft it is lol. And the best part is, it's all natural and contains the best oils. My skin has never looked healthier. I love this Moisturizer.",2
Q01,best moisturizer for dry skin,skin concern,28128,I have been searching FOREVER for a great moisturizer. My skin during winter gets soo dry ...,5,"I have been searching FOREVER for a great moisturizer. My skin during winter gets soo dry I am so glad to have been able to test this product its amazing. I dont think I would recommend this product for oily skin but dry skin for sure. It is thick and has great coverage and sinks into your skin fast. My skin feels so hydrated and moisturized!  Lets face it, dry skin and makeup together do not go!",2
Q01,best moisturizer for dry skin,skin concern,11096,Gentle and non-drying.,5,Best facial wipes I’ve found for dry skin. No strong scent. Soft  cloth. Right amount of moisture. Cleans well without irritating or drying the skin.,1
Q01,best moisturizer for dry skin,skin concern,42252,Good for normal/oily skin. Scent is very clean,5,"This toner smells so clean and nice. I wouldn't recommend it if you have very dry skin, because it did feel a bit uncomfortable on the dry parts of my face. However, if you have normal and/or oily skin, this toner is wonderful. It helps my serum and moisturizer get absorbed more quickly into my skin and leaves a nice, dry feeling (at least on the non-dry parts of my skin).",0
Q01,best moisturizer for dry skin,skin concern,11857,I love this stuff,5,"I love this stuff, never leaves my skin dry, gentle enough to use the daily moisturizer around my eyes eliminating the need for a separate eye cream. I will be re-ordering.",2
Q01,best moisturizer for dry skin,skin concern,547,Best for Dryskin,5,"I'm only using the product now. It's the best for dry, wrinkled skin! I use it every day like lotion. It's the best price, the best product, the cheapest and the best amount!  That caps it all!",1
Q01,best moisturizer for dry skin,skin concern,25068,So good. Magic marker for your brows.,5,"Stays for days, easy to touch up as needed for constant coverage.  Fades nicely.  IMPORTANT: Use on clean, dry skin, no moisturizer or product prior or marker tip gets diluted and no color comes out.",2
Q01,best moisturizer for dry skin,skin concern,27480,Best price for pampering,5,Used before. This was the best price anywhere. On time. Best hand moisturizer. Can actually use each one twice.,2
Q01,best moisturizer for dry skin,skin concern,40923,Best moisturizer for my skin,5,"I’m a member of the Crowdtap Aveeno® rewards program, and Aveeno® sent me a samples of its POSITIVELY RADIANT® DAILY MOISTURIZER BROAD SPECTRUM SPF30 to review.  This is going to be my new go-to moisturizer for sure!  It seeps into the skin quickly which is great since my skin is quite oily in certain parts of my face and with other moisturizers it feels like they just sit on my skin.  And I can use this on my slightly sensitive skin without breaking out which happens when I use any kind of SPF.  Very happy with this product and will be buying a full bottle asap.",2
Q01,best moisturizer for dry skin,skin concern,16172,Good for dry winter skin,4,High moisture. I use this as my last moisturizer in the 10-step Korean skin care regime. Locks all the other products into the skin. Skin is soft and moisturized after use.,2
Q01,best moisturizer for dry skin,skin concern,15143,Great for dry climate,5,I love this moisturizer. We live in a cold dry climate and my skin needs it to keep from aging. It goes on smoothly and absorbs with a pearlescent glow. No strong unpleasant smell either. Just fresh!,2
Q01,best moisturizer for dry skin,skin concern,16603,For anyone with dry skin,5,This product gets five stars because I have very dry skin and this product kept my skin soft four days even after I had taken a bath it is a very good product that I recommend for anyone with dry skin,1
Q01,best moisturizer for dry skin,skin concern,14409,Excellent for dry skin,5,I have extremely dry skin.  Just a small amount of this product makes my skin soft and supple for the entire day.  Love this product line.,1
Q01,best moisturizer for dry skin,skin concern,21461,No more dry cracked skin!,5,Best moisturizer lotion I have found to date......I originally had to have a prescription for this lotion from my dermatologist.  Non greasy and lasts thru several handwashings.,2
Q01,best moisturizer for dry skin,skin concern,29128,Best Stuff,5,My family loves this for dry and cracked skin.  The citrus has the best smell of all the ones I have tried.,0
Q01,best moisturizer for dry skin,skin concern,2083,Five Stars,5,This product is excellent for dry skin.,1
Q01,best moisturizer for dry skin,skin concern,24313,I am glad I tried it. Now I am obsessed with all their products!,5,"I was skeptical at first. I have very dry skin, well except my face. It is rare to find a moisturizer that hydrates your skin and also does not leave you greasy! I have been using elta MD sunscreen, face wash, and face cream for a while now. So I thought I'd give this moisturizer a try, and I am glad I did! I love all of their products!",2
Q01,best moisturizer for dry skin,skin concern,32350,Great Product,5,This product is great for dry skin and I highly recommend it.,1
Q01,best moisturizer for dry skin,skin concern,3139,... tell you and this one is by far the best as far as making my skin so soft and ...,5,I have used oh so many moisturizers I can't tell you and this one is by far the best as far as making my skin so soft and smooth,1
Q01,best moisturizer for dry skin,skin concern,29984,All day moisture,5,Works better than high end brand name moisturizers for a fraction of the price!! Skin stays smooth and hydrated all day long!,1
Q01,best moisturizer for dry skin,skin concern,36536,Three Stars,3,"To be a moisturizer, leaves your face considerably dry. I was not impressed with this product",2
Q01,best moisturizer for dry skin,skin concern,20870,Great for dry skin!,5,This stuff works so great. I have dry skin and this is fantastic. I definitely recommend this.,1
Q01,best moisturizer for dry skin,skin concern,27154,Most Hydrating of the Products I Have Used,5,"This is the most effective product for my really dry skin.  It's greasy, but it works if I keep using it.  I use Lubriderm Unscented Sensitive Skin Lotion during the day because it dries after a while, but I use Aquaphor before bed.",2
Q01,best moisturizer for dry skin,skin concern,36890,Sooo moisturizing,5,This lotion is the best! Definitely moisturizes and has a very nice scent!,2
Q01,best moisturizer for dry skin,skin concern,10113,"Great product and love the fresh, subtle scent",5,I have very dry skin and this product does the trick leaving my skin soft and silky plus is smells nice and fresh. I use it with the Olivarium shower gel.,1
Q01,best moisturizer for dry skin,skin concern,9420,"Great product,",5,I love this product. It really helps moisture my dry oily skin. I would highly recommend this product!,1
Q01,best moisturizer for dry skin,skin concern,33308,Avon Moisture Therapy Hand Cream,5,"This works very well for my dry skin, have been using this for quite some time.  Very Good!",1
Q01,best moisturizer for dry skin,skin concern,37665,Great natural product that works!,5,"Great product, made out of all natural ingredients, really works for dry skin and very reasonably priced!  Can’t go wrong.",1
Q01,best moisturizer for dry skin,skin concern,2595,Great moisturizer! Even use at night before bed,4,Great moisturizer!  Even use at night before bed!,2
Q01,best moisturizer for dry skin,skin concern,19495,good choice,4,helps with my sensitive very dry skin.....satisfied.,1
Q01,best moisturizer for dry skin,skin concern,10478,It works,5,An excellent moisturizer that holds real moisture in my skin.,2
Q01,best moisturizer for dry skin,skin concern,33104,Good stuff,4,really good moisturizer. Doesn't leave skin oily but is still moisturizer. Great as a day and night cream,2
Q01,best moisturizer for dry skin,skin concern,10221,Smells delicious!,5,Great moisturizer. Keeps skin nice and soft and it smells delicious!,2
